countryname,wasting_prev,underweight_prev,stunting_prev
tanzania,0.046396574400520973,0.14130546769959768,0.39241816876861757
western sahara,0.09258266486845644,0.1475695123355138,0.237191988547579
democratic republic of the congo,0.07868203534522858,0.23852058602947004,0.46135056493367804
somalia,0.1418120013892509,0.2617956508323066,0.33993879277473593
kenya,0.09936386014133602,0.21650726866250883,0.3727642964617468
sudan,0.15813950712579902,0.3296975846262337,0.38556108830379027
chad,0.16791092204334443,0.3935918017951291,0.47221271888798916
south africa,0.045720683038047376,0.07297585074766479,0.2661996672613857
lesotho,0.02421743209260807,0.1189908779356049,0.3976213627158386
zimbabwe,0.02973326643999747,0.10639672423307986,0.3014665663363817
botswana,0.09098370313041083,0.10155454309355241,0.2896257839923681
namibia,0.09816860941122561,0.14312053895873347,0.24950512450739354
senegal,0.0891497174122883,0.1848560191560125,0.2543899773417818
mali,0.13724285841126327,0.26524698728016544,0.3471107089440054
mauritania,0.205258235514804,0.2965197109686467,0.3269246840406547
benin,0.10486431503870336,0.22735549954334056,0.4377329812895342
niger,0.16158061103410426,0.3644906688953518,0.4344606052776478
nigeria,0.0995090041639176,0.2562885982813012,0.43456133382321693
cameroon,0.047724110903168186,0.1455756524569443,0.34824296355191625
togo,0.10043280328046444,0.1602213971704234,0.2903866544444948
ghana,0.07272969625753976,0.1358398038279328,0.2366444045390138
ivory coast,0.061147689081352756,0.13414152285624503,0.3460119025987898
guinea,0.07846899476117106,0.1732824214938449,0.35970722331563426
guinea-bissau,0.06350396278509755,0.17312212814979347,0.2895257622279503
liberia,0.05386262288312,0.16605515448754488,0.3686143089801046
sierra leone,0.07459128273479142,0.17750969189067928,0.40062130255649814
burkina faso,0.12717731594827197,0.24107786862127026,0.2980616415454363
central african republic,0.0743185757396734,0.22626435980017706,0.4074691317430406
republic of the congo,0.07291239517624129,0.1459716480578778,0.27792309929908954
gabon,0.0285588264991847,0.06918946188995947,0.2531120702569791
equatorial guinea,0.03222088772382644,0.0489415717601751,0.22231979415599654
zambia,0.06114148708229391,0.14953313232622314,0.4462087575933773
malawi,0.03494007930923485,0.1323276016667824,0.38426211919333486
mozambique,0.04221379096490178,0.12002641390545306,0.38224182897299797
eswatini,0.015729737272613134,0.05549208352739013,0.29754633927895663
angola,0.05747749298675148,0.23550767209055512,0.48343173262418415
burundi,0.07318442840767386,0.2803220296395825,0.5452425275388715
madagascar,0.10183280665762845,0.29307700475443993,0.48418172347125504
gambia,0.09768356169174025,0.18286814524962738,0.26314776923294897
tunisia,0.025094958981093592,0.03343506992706055,0.12464934110362695
algeria,0.06101440082181933,0.10331465950329934,0.18195224339335686
eritrea,0.13350748483531158,0.32897939676405286,0.4304078527539191
morocco,0.045651645780578405,0.07094608628543363,0.2018418164575072
egypt,0.07661156055364803,0.08410595294107244,0.19073968445908634
libya,0.08053809000692734,0.08876829442427943,0.32180458656623145
ethiopia,0.1283107091697679,0.284044905944346,0.424076850856423
djibouti,0.17657956959790358,0.27851235936191787,0.41804894613430355
somaliland,0.1490118737373447,0.23297833422128397,0.2561359290721485
uganda,0.04428010846414672,0.1406423642297796,0.36106542911019823
rwanda,0.030084460071059776,0.10876979874334153,0.4171625015508984
south sudan,0.16432148801497193,0.24935283939343691,0.3293386160670032
