Age,Male,Female,Intersex
Total,"23,548,056","24,014,716","1,524"
0,"552,508","552,528",38
1,"580,856","573,920",29
2,"614,005","610,705",33
3,"619,989","621,941",26
4,"638,986","627,675",28
0 - 4,"3,006,344","2,986,769",154
5,"626,157","610,459",40
6,"635,924","635,942",30
7,"609,615","601,301",24
8,"618,618","616,833",46
9,"626,637","620,981",36
05-Sep,"3,116,951","3,085,516",176
10,"700,526","678,721",33
11,"573,757","591,394",33
12,"686,954","648,485",36
13,"635,152","628,630",29
14,"613,371","588,912",39
Oct-14,"3,209,760","3,136,142",170
15,"611,376","583,931",34
16,"553,944","541,378",31
17,"561,688","528,796",27
18,"475,670","457,032",24
19,"483,586","488,305",35
15-19,"2,686,264","2,599,442",151
20,"486,633","523,210",46
21,"406,910","444,707",44
22,"406,099","455,328",34
23,"420,329","477,116",43
24,"392,719","434,417",39
20-24,"2,112,690","2,334,778",206
25,"454,278","485,467",51
26,"358,506","404,246",27
27,"373,128","403,578",29
28,"318,319","353,653",19
29,"335,312","367,915",27
25-29,"1,839,543","2,014,859",153
30,"449,798","497,944",59
31,"296,545","324,359",29
32,"369,586","407,999",24
33,"302,318","340,100",18
34,"280,431","301,485",24
30-34,"1,698,678","1,871,887",154
35,"382,439","379,319",25
36,"256,797","251,332",21
37,"262,021","241,630",20
38,"211,212","206,305",16
39,"235,726","223,242",11
35-39,"1,348,195","1,301,828",93
40,"310,926","285,821",20
41,"249,854","235,257",16
42,"233,583","220,164",10
43,"199,253","199,791",11
44,"163,538","160,981",6
40-44,"1,157,154","1,102,014",63
45,"266,741","247,573",15
46,"178,394","172,948",11
47,"185,808","176,586",11
48,"132,797","125,840",11
49,"152,594","146,924",3
45-49,"916,334","869,871",51
50,"195,078","194,961",24
51,"135,462","132,506",7
52,"124,802","118,504",5
53,"94,804","94,023",2
54,"112,835","105,591",6
50-54,"662,981","645,585",44
55,"121,805","111,997",6
56,"120,876","120,548",6
57,"107,486","126,164",3
58,"91,116","98,592",4
59,"105,680","113,804",7
55-59,"546,963","571,105",26
60,"128,256","140,094",13
61,"88,589","95,821",2
62,"75,398","76,113",4
63,"72,341","79,285",6
64,"54,857","59,240",3
60-64,"419,441","450,553",28
65,"82,916","93,842",5
66,"51,177","55,000",2
67,"79,991","87,492",3
68,"38,762","40,820",2
69,"58,499","69,664",3
65-69,"311,345","346,818",15
70,"76,946","101,211",6
71,"49,719","56,193",5
72,"41,945","41,403",1
73,"34,684","38,090",1
74,"32,680","41,651",4
70-74,"235,974","278,548",17
75,"30,747","40,719",3
76,"24,647","35,303",-
77,"25,742","33,045",3
78,"16,805","18,495",-
79,"21,354","36,258",1
75-79,"119,295","163,820",7
80,"28,032","46,137",-
81,"14,572","21,948",2
82,"13,255","14,923",-
83,"14,465","18,244",-
84,"12,609","19,709",1
80-84,"82,933","120,961",3
85,"11,334","17,469",1
86,"8,170","10,771",-
87,"9,793","13,991",-
88,"5,071","6,572",1
89,"9,584","20,851",2
85-89,"43,952","69,654",4
90,"6,646","13,876",4
91,"4,885","8,801",-
92,"3,062","4,537",-
93,"2,434","4,167",-
94,"2,201","4,488",-
90-94,"19,228","35,869",4
95,"3,347","6,046",-
96,"1,467","2,631",-
97,"1,963","2,799",-
98,"1,137","2,026",-
99,"1,856","4,734",-
95-99,"9,770","18,236",-
100+,"3,876","10,164",-
Not Stated,385,297,5
